region,country
RJ                                                ,BR                                                
GA                                                ,US                                                
CA                                                ,US                                                
NJ                                                ,US                                                
TX                                                ,US                                                
MH                                                ,IN                                                
D                                                 ,IE                                                
PA                                                ,BR                                                
VA                                                ,US                                                
AZ                                                ,US                                                
IL                                                ,US                                                
MI                                                ,US                                                
FL                                                ,US                                                
ES                                                ,BR                                                
BW                                                ,DE                                                
MA                                                ,US                                                
PR                                                ,BR                                                
BC                                                ,CA                                                
NSW                                               ,AU                                                
DF                                                ,BR                                                
C                                                 ,IE                                                
HE                                                ,DE                                                
ON                                                ,CA                                                
MS                                                ,BR                                                
DC                                                ,US                                                
NE                                                ,US                                                
NC                                                ,US                                                
CO                                                ,US                                                
LA                                                ,US                                                
ENG                                               ,GB                                                
GO                                                ,BR                                                
IN                                                ,US                                                
CT                                                ,US                                                
WA                                                ,US                                                
PE                                                ,BR                                                
MO                                                ,US                                                
MN                                                ,US                                                
RS                                                ,BR                                                
NH                                                ,NL                                                
SC                                                ,BR                                                
BA                                                ,BR                                                
WI                                                ,US                                                
RM                                                ,CL                                                
OK                                                ,US                                                
OH                                                ,US                                                
CE                                                ,BR                                                
RI                                                ,US                                                
AB                                                ,CA                                                
R                                                 ,AR                                                
BOL                                               ,CO                                                
NV                                                ,US                                                
OR                                                ,US                                                
KS                                                ,US                                                
ZH                                                ,CH                                                
MT                                                ,BR                                                
QLD                                               ,AU                                                
PI                                                ,BR                                                
CL                                                ,ES                                                
NY                                                ,US                                                
MG                                                ,BR                                                
SP                                                ,BR                                                
BE                                                ,DE                                                
CDMX                                              ,MX                                                
